file,cpn,width,height,area,max_dim,min_dim,n_pages,scale_p1,scale_p2,scale_p3
RAD4-24.00X53.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-24.00X53.00-CH04-30K,24.0,53.0,1272.0,53.0,24.0,2,12,12,
RAD4-24.00X56.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-24.00X56.00-CH04-30K,24.0,56.0,1344.0,56.0,24.0,2,12,12,
RAD4-24.00X60.00-BK05-30K-SALES-AID-A.1.PDF,RAD4-24.00X60.00-BK05-30K,24.0,60.0,1440.0,60.0,24.0,2,14,14,
RAD4-24.00X60.00-BK05-30K-SALES-AID-E.1-AI-GENERATED.PDF,RAD4-24.00X60.00-BK05-30K,24.0,60.0,1440.0,60.0,24.0,2,16,16,
RAD4-24.00X60.00-BK05-CK2-30K-SALES-AID-A.1.PDF,RAD4-24.00X60.00-BK05-CK2-30K,24.0,60.0,1440.0,60.0,24.0,2,14,14,
RAD4-24.00X60.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-24.00X60.00-CH04-30K,24.0,60.0,1440.0,60.0,24.0,2,14,14,
RAD4-24.00X72.00-BK05-30K-SALES-AID-A.1.PDF,RAD4-24.00X72.00-BK05-30K,24.0,72.0,1728.0,72.0,24.0,2,16,16,
RAD4-24.00X72.00-CH04-CK2-D1-30K-SALES-AID-A.1.PDF,RAD4-24.00X72.00-CH04-CK2-D1-30K,24.0,72.0,1728.0,72.0,24.0,2,18,18,
RAD4-25.00X50.50-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-25.00X50.50-BK05-D2-30K,25.0,50.5,1262.5,50.5,25.0,2,12,10,
RAD4-25.00X62.50-CH04-30K-SALES-AID-A.1.PDF,RAD4-25.00X62.50-CH04-30K,25.0,62.5,1562.5,62.5,25.0,2,12,14,
RAD4-26.00X40.00-NK04-30K-SALES-AID-A.1.PDF,RAD4-26.00X40.00-NK04-30K,26.0,40.0,1040.0,40.0,26.0,2,10,10,
RAD4-26.00X40.00-NK04-CC2-NO-30K-SALES-AID-A.1.PDF,RAD4-26.00X40.00-NK04-CC2-NO-30K,26.0,40.0,1040.0,40.0,26.0,2,12,10,
RAD4-26.00X40.00-NK04-NO-30K-SALES-AID-A.1.PDF,RAD4-26.00X40.00-NK04-NO-30K,26.0,40.0,1040.0,40.0,26.0,2,10,10,
