file,cpn,revision,cpn_model,cpn_custom_prefix,cpn_size,cpn_finish_code,cpn_finish_name,cpn_cct_code,cpn_cct_K,cpn_is_custom,cpn_is_frx,cpn_options,cpn_option_meanings,frame_finish,total_wattage_W,voltage_V,current_A,led_type,led_length_in,led_wattage_W,l70_lifespan_hrs,cct_K,lumens_total,lumens_per_ft,cri,weight_lbs,has_defogger,defogger_voltage,defogger_wattage,has_clock,clock_watts,has_keen,has_277v,has_dimmer_kd,powerbox,mirror_assembly,powerbox_assembly,cpn_in_pdf,cpn_from_filename
RAD4-58.50X34.75-CH04-27K-SALES-AID-A.1.pdf,RAD4-58.50X34.75-CH04-27K,A.1,RAD4,,58.50X34.75,CH04,CHROME,27K,2700K,False,False,,,ETCHED CHROME,,120 OR 277,0.40 OR 0.18,REPLACEABLE FLEX STRIP,184,48.6,"140,000",2700,4604,302,90+,61,False,,,False,,False,True,False,,,,RAD4-58.50X34.75-CH04-27K,RAD4-58.50X34.75-CH04-27K
RAD4-58.50X34.75-CH04-30K-SALES-AID-A.1.PDF,RAD4-58.50X34.75-CH04-30K,A.1,RAD4,,58.50X34.75,CH04,CHROME,30K,3000K,False,False,,,ETCHED CHROME,,120 OR 277,0.40 OR 0.17,REPLACEABLE FLEX STRIP,184,56,"140,000",3000,4604,302,90+,61,False,,,False,,False,True,False,81330-96W,,,RAD4-58.50X34.75-CH04-30K,RAD4-58.50X34.75-CH04-30K
RAD4-58.50X34.75-CH04-DF-KD-30K-SALES-AID-A.1.PDF,RAD4-58.50X34.75-CH04-DF-KD-30K,A.1,RAD4,,58.50X34.75,CH04,CHROME,30K,3000K,False,False,DF;KD,Defogger (DF);Keen Dimmer,ETCHED CHROME,,120,0.62,REPLACEABLE FLEX STRIP,184,56,"140,000","3,000",4628,302,90+,60,True,,,False,,True,False,True,81330-DF-K-96W,,,RAD4-58.50X34.75-CH04-DF-KD-30K,RAD4-58.50X34.75-CH04-DF-KD-30K
RAD4-60.00X36.00-BK05-30K-SALES-AID-A.1.PDF,RAD4-60.00X36.00-BK05-30K,A.1,RAD4,,60.00X36.00,BK05,MATTE BLACK,30K,3000K,False,False,,,MATTE BLACK,,120 - 277,0.41 - 0.18,REPLACEABLE FLEX STRIP,189,58,"140,000","3,000","4,755",302,90+,64,False,,,False,,False,True,False,,,,RAD4-60.00X36.00-BK05-30K,RAD4-60.00X36.00-BK05-30K
RAD4-60.00X36.00-BK05-D1-30K-SALES-AID-A.1.PDF,RAD4-60.00X36.00-BK05-D1-30K,A.1,RAD4,,60.00X36.00,BK05,MATTE BLACK,30K,3000K,False,False,D1,Defogger D1,MATTE BLACK,,120 OR 277,0.43 OR 0.19,REPLACEABLE FLEX STRIP,189,58,"140,000","3,000","4,755",302,90+,64,False,,,False,,False,True,False,,,,RAD4-60.00X36.00-BK05-D1-30K,RAD4-60.00X36.00-BK05-D1-30K
RAD4-60.00X36.00-BK05-D1-35K-SALES-AID-A.1.PDF,RAD4-60.00X36.00-BK05-D1-35K,A.1,RAD4,,60.00X36.00,BK05,MATTE BLACK,35K,3500K,False,False,D1,Defogger D1,MATTE BLACK,,120 OR 277,0.43 OR 0.19,REPLACEABLE FLEX STRIP,189,58,"140,000","3,500","4,755",302,90+,64,False,,,False,,False,True,False,81330-D1-96W,RAD4-60.00X36.00-BK05-35K-M,81330-D1-96W,RAD4-60.00X36.00-BK05-D1-35K,RAD4-60.00X36.00-BK05-D1-35K
RAD4-60.00X36.00-BK05-D1-DF-30K-SALES-AID-A.1.PDF,RAD4-60.00X36.00-BK05-D1-DF-30K,A.1,RAD4,,60.00X36.00,BK05,MATTE BLACK,30K,3000K,False,False,D1;DF,Defogger D1;Defogger (DF),MATTE BLACK,,120,0.0.9,REPLACEABLE FLEX STRIP,189,58,"140,000","3,000",4753,302,90+,64,True,,,False,,False,False,False,81330-D1-DF-96W,,,RAD4-60.00X36.00-BK05-D1-DF-30K,RAD4-60.00X36.00-BK05-D1-DF-30K
RAD4-60.00X36.00-BK05-KG-30K-SALES-AID-A.1.PDF,RAD4-60.00X36.00-BK05-KG-30K,A.1,RAD4,,60.00X36.00,BK05,MATTE BLACK,30K,3000K,False,False,KG,Keen 1-Touch (KG),MATTE BLACK,,120 OR 277,0.42 OR 0.18,REPLACEABLE FLEX STRIP,189,59,"140,000","3,000",4753,302,90+,64,False,,,False,,True,True,False,81330-K-96W,,,RAD4-60.00X36.00-BK05-KG-30K,RAD4-60.00X36.00-BK05-KG-30K
RAD4-60.00X36.00-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-60.00X36.00-BR02-D2-30K,A.1,RAD4,,60.00X36.00,BR02,BRUSHED BRASS,30K,3000K,False,False,D2,Defogger D2,BRUSHED BRASS,,120 - 277,0.45 - 0.19,REPLACEABLE FLEX STRIP,189,58,"140,000","3,000","4,755",302,90+,64,False,,,False,,False,True,False,,,,RAD4-60.00X36.00-BR02-D2-30K,RAD4-60.00X36.00-BR02-D2-30K
RAD4-60.00X36.00-CH04-277V-30K-SALES-AID-A.1.PDF,RAD4-60.00X36.00-CH04-277V-30K,A.1,RAD4,,60.00X36.00,CH04,CHROME,30K,3000K,False,False,277V,277V Input,ETCHED CHROME,,120 OR 277,0.41 OR 0.18,REPLACEABLE FLEX STRIP,189,58,"140,000","3,000","4,755",302,90+,64,False,,,False,,False,True,False,81330-96W,,,RAD4-60.00X36.00-CH04-277V-30K,RAD4-60.00X36.00-CH04-277V-30K
RAD4-60.00X36.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-60.00X36.00-CH04-30K,A.1,RAD4,,60.00X36.00,CH04,CHROME,30K,3000K,False,False,,,ETCHED CHROME,,120 - 277,0.41 - 0.18,REPLACEABLE FLEX STRIP,189,58,"140,000","3,000","4,755",302,90+,64,False,,,False,,False,True,False,,,,RAD4-60.00X36.00-CH04-30K,RAD4-60.00X36.00-CH04-30K
RAD4-60.00X36.00-CH04-D1-30K-SALES-AID-A.1.PDF,RAD4-60.00X36.00-CH04-D1-30K,A.1,RAD4,,60.00X36.00,CH04,CHROME,30K,3000K,False,False,D1,Defogger D1,ETCHED CHROME,,120 OR 277,0.43 OR 0.19,REPLACEABLE FLEX STRIP,189,58,"140,000","3,000","4,755",302,90+,64,False,,,False,,False,True,False,,,,RAD4-60.00X36.00-CH04-D1-30K,RAD4-60.00X36.00-CH04-D1-30K
RAD4-60.00X42.00-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-60.00X42.00-BR02-D2-30K,A.1,RAD4,,60.00X42.00,BR02,BRUSHED BRASS,30K,3000K,False,False,D2,Defogger D2,BRUSHED BRASS,,120 - 277,0.48 - 0.21,REPLACEABLE FLEX STRIP,201,62,"140,000","3,000",5055,302,90+,72,False,,,False,,False,True,False,81330-D2-96W,,,RAD4-60.00X42.00-BR02-D2-30K,RAD4-60.00X42.00-BR02-D2-30K
RAD4-60.00X42.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-60.00X42.00-CH04-30K,A.1,RAD4,,60.00X42.00,CH04,CHROME,30K,3000K,False,False,,,ETCHED CHROME,,120 OR 277,0.44 OR 0.19,REPLACEABLE FLEX STRIP,1,62,"140,000","3,000",5050,302,90+,72,False,,,False,,False,True,False,81330-96W,RAD4-60.00X42.00-CH04-30K-M,81330-96W,RAD4-60.00X42.00-CH04-30K,RAD4-60.00X42.00-CH04-30K
RAD4-60.00X45.00-NK04-WG3-30K-SALES-AID-A.1.PDF,RAD4-60.00X45.00-NK04-WG3-30K,A.1,RAD4,,60.00X45.00,NK04,BRUSHED NICKEL,30K,3000K,False,False,WG3,Wall-Grommet/Power Routing (WG3),ETCHED NICKEL,,120 OR 277,1.01 OR 0.44,REPLACEABLE FLEX STRIP,207,63,"140,000","3,000",5206,302,90+,85,False,,,False,,False,True,False,81330-192W,RAD4-60.00X45.00-NK04-WG3-30K-M,81330-192W,RAD4-60.00X45.00-NK04-WG3-30K,RAD4-60.00X45.00-NK04-WG3-30K
RAD4-60.00X48.00-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-60.00X48.00-BR02-D2-30K,A.1,RAD4,,60.00X48.00,BR02,BRUSHED BRASS,30K,3000K,False,False,D2,Defogger D2,BRUSHED BRASS,,120 - 277,0.51 - 0.22,REPLACEABLE FLEX STRIP,215,66,"140,000","3,000","5,399",302,90+,81,False,,,False,,False,True,False,,,,RAD4-60.00X48.00-BR02-D2-30K,RAD4-60.00X48.00-BR02-D2-30K
RAD4-60.00X48.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-60.00X48.00-CH04-30K,A.1,RAD4,,60.00X48.00,CH04,CHROME,30K,3000K,False,False,,,ETCHED CHROME,,120 OR 277,0.54 OR 0.23,REPLACEABLE FLEX STRIP,213,65,"140,000","3,000","5,361",302,90+,81,False,,,False,,False,True,False,,,,RAD4-60.00X48.00-CH04-30K,RAD4-60.00X48.00-CH04-30K
